PROJECT,WBS ID,DESCRIPTION,ALIAS,E,XREF-7,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
GHBOA27,12000A-03A4A,Receive Troubleshoot & Repair Estimates,FFP,W,,LY812000A,LAH,,201102,2.81,0.00,2.81,2.81,94.47,94.47,0.00,364.93,364.93,0.00,364.93,1,,L
GHBOA27,12000A-03A4A,Receive Troubleshoot & Repair Estimates,FFP,W,,LY812000A,LAH,,201103,3.52,0.00,3.52,3.52,118.08,118.08,0.00,456.17,456.17,0.00,456.17,1,,L
GHBOA27,12000A-03A4A,Receive Troubleshoot & Repair Estimates,FFP,W,,LY812000A,LAH,,201104,2.81,0.00,2.81,2.81,94.47,94.47,0.00,364.93,364.93,0.00,364.93,1,,L
GHBOA27,12000A-03A4A,Receive Troubleshoot & Repair Estimates,FFP,W,,LY812000A,LAH,,201105,2.81,0.00,2.81,2.81,94.47,94.47,0.00,364.93,364.93,0.00,364.93,1,,L
GHBOA27,12000A-03A4A,Receive Troubleshoot & Repair Estimates,FFP,W,,LY812000A,LAH,,201106,3.24,0.00,3.24,4.91,108.63,108.63,0.00,419.67,419.67,0.00,637.13,1,,L
GHBOA27,12000A-03A4A,Receive Troubleshoot & Repair Estimates,FFP,W,,LY812000A,LAH,,201107,2.67,0.00,2.67,4.06,89.74,89.74,0.00,346.69,346.69,0.00,526.33,1,,L
GHBOA27,12000A-03A4A,Receive Troubleshoot & Repair Estimates,FFP,W,,LY812000A,LAH,,201108,2.81,0.00,2.81,5.27,94.47,94.47,0.00,364.93,364.93,0.00,711.81,1,,L
GHBOA27,12000A-03A4A,Receive Troubleshoot & Repair Estimates,FFP,W,,LY812000A,LAH,,201109,3.38,0.00,3.38,7.36,113.36,113.36,0.00,437.92,437.92,0.00,992.93,1,,L
GHBOA27,12000A-03A4A,Receive Troubleshoot & Repair Estimates,FFP,W,,LY812000A,LAH,,201110,2.81,0.00,2.81,8.16,94.47,94.47,0.00,364.93,364.93,0.00,1101.45,1,,L
GHBOA27,12000A-03A4A,Receive Troubleshoot & Repair Estimates,FFP,W,,LY812000A,LAH,,201111,2.67,0.00,2.67,10.43,89.74,89.74,0.00,346.69,346.69,0.00,1407.84,1,,L
GHBOA27,12000A-03A4A,Receive Troubleshoot & Repair Estimates,FFP,W,,LY812000A,LAH,,201112,2.81,0.00,2.81,9.99,94.47,94.47,0.00,364.93,364.93,0.00,1347.95,1,,L
GHBOA27,12000A-03A4A,Receive Troubleshoot & Repair Estimates,FFP,W,,LY812000A,LAH,,201201,1.83,0.00,1.83,29.29,63.85,63.85,0.00,248.57,248.57,0.00,4195.10,1,,L
GHBOA27,12000A-03J30,Industrial Engineering Support,FFP,W,,LY812000A,SXX,,201102,9.00,7.00,9.00,9.00,427.14,427.14,217.00,1650.10,1650.10,813.72,1650.10,1,,L
GHBOA27,12000A-03J30,Industrial Engineering Support,FFP,W,,LY812000A,SXX,,201103,11.70,11.70,11.70,20.70,555.28,555.28,374.87,2145.14,2145.14,1405.72,3795.24,1,,L
GHBOA27,12000A-0819H,AV - Flight Systems IPT DMAP Support,FFP,W,,LY812000A,HJX,,201102,1.10,10.00,1.10,0.00,52.21,52.21,468.62,201.68,201.68,1256.68,0.00,1,,L
GHBOA27,12000A-0819H,AV - Flight Systems IPT DMAP Support,FFP,W,,LY812000A,HJX,,201103,7.00,54.60,7.00,8.10,332.22,332.22,2149.27,1283.41,1283.41,5763.61,1184.83,1,,L
GHBOA27,12000A-0819H,AV - Flight Systems IPT DMAP Support,FFP,W,,LY812000A,HJX,,201104,7.00,14.10,7.00,2.00,332.22,332.22,539.77,1283.41,1283.41,1447.48,292.55,1,,L
GHBOA27,12000A-0819H,AV - Flight Systems IPT DMAP Support,FFP,W,,LY812000A,HJX,,201105,7.00,14.40,7.00,14.40,332.22,332.22,566.67,1283.41,1283.41,1519.61,2106.36,1,,L
GHBOA27,12000A-0819H,AV - Flight Systems IPT DMAP Support,FFP,W,,LY812000A,HJX,,201106,7.00,6.50,7.00,6.50,332.22,332.22,250.80,1283.41,1283.41,672.56,950.79,1,,L
GHBOA27,12000A-0819H,AV - Flight Systems IPT DMAP Support,FFP,W,,LY812000A,HJX,,201107,8.00,3.50,8.00,7.00,379.68,379.68,146.64,1466.76,1466.76,393.24,1023.93,1,,L
GHBOA27,12000A-0819H,AV - Flight Systems IPT DMAP Support,FFP,W,,LY812000A,HJX,,201108,7.00,2.00,7.00,0.00,332.22,332.22,65.00,1283.41,1283.41,177.22,0.00,1,,L
GHBOA27,12000A-0819H,AV - Flight Systems IPT DMAP Support,FFP,W,,LY812000A,HJX,,201109,7.00,0.50,7.00,0.50,332.22,332.22,16.25,1283.41,1283.41,43.58,75.51,1,,L
GHBOA27,12000A-0819H,AV - Flight Systems IPT DMAP Support,FFP,W,,LY812000A,HJX,,201110,8.00,0.00,8.00,0.00,379.68,379.68,0.00,1466.76,1466.76,0.00,0.00,1,,L
GHBOA27,12000A-0819H,AV - Flight Systems IPT DMAP Support,FFP,W,,LY812000A,HJX,,201111,7.00,0.00,7.00,15.00,332.22,332.22,0.00,1283.41,1283.41,0.00,2265.26,1,,L
GHBOA27,12000A-0819H,AV - Flight Systems IPT DMAP Support,FFP,W,,LY812000A,HJX,,201112,7.00,0.00,7.00,13.60,332.22,332.22,0.00,1283.41,1283.41,0.00,2053.83,1,,L
GHBOA27,12000A-0819H,AV - Flight Systems IPT DMAP Support,FFP,W,,LY812000A,HJX,,201201,7.00,0.00,7.00,12.85,345.52,345.52,0.00,1345.02,1345.02,0.00,2046.69,1,,L
GHBOA27,12000P-03J30,Proposal Prep Actual,FFP,W,,LY812000P,HHX,,201102,4.05,0.00,4.05,4.05,192.21,192.21,0.00,742.55,742.55,0.00,742.55,1,,L
GHBOA27,12000P-03J30,Proposal Prep Actual,FFP,W,,LY812000P,HHX,,201103,0.00,4.50,0.00,0.00,0.00,0.00,139.50,0.00,0.00,523.11,0.00,1,,L
GHBOA27,12000P-0810H,Proposal Prep Actual,FFP,W,,LY812000P,H00,,201102,18.54,0.00,18.54,0.00,994.67,994.67,0.00,2711.94,2711.94,0.00,0.00,1,,L
GHBOA27,12000P-0810H,Proposal Prep Actual,FFP,W,,LY812000P,H00,,201103,0.00,19.80,0.00,18.54,0.00,0.00,496.54,0.00,0.00,1331.55,2711.94,1,,L
GHBOA27,32000A-0LZ30,Tech Pubs Depot Repair Planning,FFP,W,,LY832000A,LAF,,201102,8.88,5.50,8.88,8.88,351.70,351.70,261.04,958.89,958.89,700.02,958.89,1,,L
GHBOA27,32000A-0LZ30,Tech Pubs Depot Repair Planning,FFP,W,,LY832000A,LAF,,201103,11.10,3.00,11.10,11.10,439.62,439.62,146.31,1198.62,1198.62,392.35,1198.62,1,,L
GHBOA27,32000A-0LZ30,Tech Pubs Depot Repair Planning,FFP,W,,LY832000A,LAF,,201104,8.88,1.00,8.88,10.12,351.70,351.70,48.50,958.89,958.89,130.06,1092.92,1,,L
GHBOA27,32000A-0LZ30,Tech Pubs Depot Repair Planning,FFP,W,,LY832000A,LAF,,201105,8.88,0.00,8.88,11.23,351.70,351.70,0.00,958.89,958.89,0.00,1212.31,1,,L
GHBOA27,32000A-0LZ30,Tech Pubs Depot Repair Planning,FFP,W,,LY832000A,LAF,,201106,10.21,71.40,10.21,14.48,404.45,404.45,3062.83,1102.73,1102.73,8213.46,1564.24,1,,L
GHBOA27,32000A-0LZ30,Tech Pubs Depot Repair Planning,FFP,W,,LY832000A,LAF,,201107,8.44,5.90,8.44,13.92,334.11,334.11,251.93,910.95,910.95,675.59,1502.92,1,,L
GHBOA27,32000A-0LZ30,Tech Pubs Depot Repair Planning,FFP,W,,LY832000A,LAF,,201108,8.88,14.40,8.88,17.35,351.70,351.70,698.74,958.89,958.89,1905.09,2043.11,1,,L
GHBOA27,32000A-0LZ30,Tech Pubs Depot Repair Planning,FFP,W,,LY832000A,LAF,,201109,10.65,1.50,10.65,20.82,422.04,422.04,72.75,1150.67,1150.67,195.09,2451.74,1,,L
GHBOA27,32000A-0LZ30,Tech Pubs Depot Repair Planning,FFP,W,,LY832000A,LAF,,201110,8.88,0.00,8.88,22.24,351.70,351.70,0.00,958.89,958.89,0.00,2619.03,1,,L
GHBOA27,32000A-0LZ30,Tech Pubs Depot Repair Planning,FFP,W,,LY832000A,LAF,,201111,8.44,0.80,8.44,28.29,334.11,334.11,21.33,910.95,910.95,57.20,3331.37,1,,L
GHBOA27,32000A-0LZ30,Tech Pubs Depot Repair Planning,FFP,W,,LY832000A,LAF,,201112,8.88,1.40,8.88,29.78,351.70,351.70,37.31,958.89,958.89,100.05,3506.71,1,,L
GHBOA27,32000A-0LZ30,Tech Pubs Depot Repair Planning,FFP,W,,LY832000A,LAF,,201201,5.77,0.00,5.77,80.27,237.72,237.72,0.00,661.83,661.83,0.00,9964.90,1,,L
GHBOA27,32000A-0LZ40,Product Supply Support - Repairs,FFP,W,,LY832000A,LAB,,201102,9.33,2.70,9.33,9.33,369.69,369.69,94.67,1007.96,1007.96,253.87,1007.96,1,,L
GHBOA27,32000A-0LZ40,Product Supply Support - Repairs,FFP,W,,LY832000A,LAB,,201103,11.67,12.00,11.67,11.67,462.12,462.12,506.40,1259.95,1259.95,1357.99,1259.95,1,,L
