PROJECT,WBS ID,DESCRIPTION,ALIAS,E,XREF-7,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
GHBOA22,42000P-0810H,Proposal Prep,Basic,W,H00,LY742000P,H00,810H,201101,0.83,12.60,0.83,0.83,44.59,44.59,333.32,121.77,121.77,882.95,121.77,1,,L
GHBOA22,42000P-0810H,Proposal Prep,Basic,W,H00,LY742000P,H00,810H,201102,0.87,0.00,0.87,0.00,46.94,46.94,0.00,128.18,128.18,0.00,0.72,1,,L
GHBOA22,42000P-0810H,Proposal Prep,Basic,W,H00,LY742000P,H00,810H,201103,1.09,0.00,1.09,0.00,58.67,58.67,0.00,160.23,160.23,0.00,0.53,1,,L
GHBOA22,42000P-0810H,Proposal Prep,Basic,W,H00,LY742000P,H00,810H,201104,0.87,0.00,0.87,0.00,46.94,46.94,0.00,128.18,128.18,0.00,0.72,1,,L
GHBOA22,42000P-0810H,Proposal Prep,Basic,W,H00,LY742000P,H00,810H,201105,0.87,0.00,0.87,1.85,46.94,46.94,0.00,128.18,128.18,0.00,271.76,1,,L
GHBOA22,42000P-0810H,Proposal Prep,Basic,W,H00,LY742000P,H00,810H,201106,1.01,0.00,1.01,1.01,53.98,53.98,0.00,147.41,147.41,0.00,147.41,1,,L
GHBOA22,42000P-0810H,Proposal Prep,Basic,W,H00,LY742000P,H00,810H,201107,0.83,0.00,0.83,1.81,44.59,44.59,0.00,121.77,121.77,0.00,265.36,1,,L
GHBOA22,42000P-0810H,Proposal Prep,Basic,W,H00,LY742000P,H00,810H,201108,0.87,0.00,0.87,0.87,46.94,46.94,0.00,128.18,128.18,0.00,128.18,1,,L
GHBOA22,42000P-0810H,Proposal Prep,Basic,W,H00,LY742000P,H00,810H,201109,1.05,0.00,1.05,1.05,56.33,56.33,0.00,153.82,153.82,0.00,149.56,1,,L
GHBOA22,42000P-0810H,Proposal Prep,Basic,W,H00,LY742000P,H00,810H,201110,0.87,0.00,0.87,2.00,46.94,46.94,0.00,128.18,128.18,0.00,282.12,1,,L
GHBOA22,42000P-0810H,Proposal Prep,Basic,W,H00,LY742000P,H00,810H,201111,0.83,0.00,0.83,1.23,44.59,44.59,0.00,121.77,121.77,0.00,173.24,1,,L
GHBOA22,42000P-0810H,Proposal Prep,Basic,W,H00,LY742000P,H00,810H,201112,0.61,0.00,0.61,2.23,32.86,32.86,0.00,89.73,89.73,0.00,314.13,1,,L
GHBOA22,42000P-0810H,Proposal Prep,Basic,W,H00,LY742000P,H00,810H,201201,10.98,0.00,0.00,13.21,612.68,0.00,0.00,1710.04,0.00,0.00,1982.94,1,,L
GHBOA22,42000P-0810H,Proposal Prep,Basic,W,H00,LY742000P,H00,810H,201202,0.00,0.00,0.00,13.21,0.00,0.00,0.00,0.00,0.00,0.00,1982.94,1,,L
